Field=#~Integer~#~50|Field=Fitted~String~Fitted~100|Field=Description~String~Description~292|Field=Designator~String~Designator~158|Field=Footprint~String~Footprint~113|Field=Quantity~Integer~Quantity~70|Field=Indications~String~Indications~92|Field=Value~String~Value~92|Field=Manufacturer 1~String~Manufacturer 1~203|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~177|ReportField=Currency~USD|ReportField=ProductionQuantity~1000|ReportField=ProjectFileName~LPCXpresso55SXX.PrjPcb|ReportField=ProjectFullPath~C:\NXP\LPC5500\LPCXpresso55SXX\trunk\LPCXpresso55SXX.PrjPcb|ReportField=Title~BOM For Variant [LPC55S69] of BOM Document [LPCXpresso55SXX.BomDoc]|ReportField=TotalQuantity~298|ReportField=ReportTime~2:56:49 PM|ReportField=ReportDate~5/29/2019|ReportField=ReportDateTime~5/29/2019 2:56:49 PM|ReportField=OutputName~BOM|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~LPC55S69|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~José Ogando|ReportField=CompanyName~|ReportField=CurrentDate~5/29/2019|ReportField=CurrentTime~12:47:05 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\NXP\LPC5500\LPCXpresso55SXX\trunk\BRIDGE-ACCELEROMETER.SchDoc|ReportField=DocumentName~BRIDGE-ACCELEROMETER.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~Eduardo Teofilo|ReportField=ImagePath~|ReportField=ModifiedDate~5/29/2019|ReportField=Organization~|ReportField=ProjectName~LPCXpresso55SXX.PrjPcb|ReportField=Revision~A2|ReportField=Rule~|ReportField=SheetNumber~4|ReportField=SheetTotal~8|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~LPCXpresso55SXX.BomDoc|ReportField=DataSourceFullPath~C:\NXP\LPC5500\LPCXpresso55SXX\trunk\LPCXpresso55SXX.BomDoc|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|Fitted|Capacitor, Yageo, Ceramic, 0.1uF 10% 16V 0402 (1005) X7R|C1, C2, C3, C4, C6, C13, C14, C15, C21, C23, C30, C35, C36, C37, C38, C39, C40, C43, C44, C48, C49, C54, C55, C57, C59, C60, C61, C71, C73, C75, C83, C85, C87, C88, C89, C91|CAPC1005|36||0.1uF|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DGRM155-R7-1C-104K-A88-D%26seller%3DDigi-Key%26sku%3D490-3261-2-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Murata{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DGRM155-R7-1C-104K-A88-D%26seller%3DDigi-Key%26sku%3D490-3261-2-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}GRM155-R7-1C-104K-A88-D{URL.TIP}Manufacturer
2|Fitted|CAP 1uF 10V -20% to +80% 0402 (1005 Metric) Thickness 0.6mm SMD|C5, C52, C86|CAPC0402(1005)60_L|3||1uF|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DCC0402ZRY5V6BB105%26seller%3DDigi-Key%26sku%3D311-1440-2-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Yageo{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DCC0402ZRY5V6BB105%26seller%3DDigi-Key%26sku%3D311-1440-2-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}CC0402ZRY5V6BB105{URL.TIP}Manufacturer
3|Fitted|CAP 47pF 16V ±1% 0402 (1005 Metric) Thickness 0.6mm SMD|C7|CAPC0402(1005)60_L|1||47pF|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Vitramon%26mpn%3DVJ0402A470FXJPW1BC%26seller%3DDigi-Key%26sku%3DVJ0402A470FXJPW1BC-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Vishay%20Vitramon{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Vitramon%26mpn%3DVJ0402A470FXJPW1BC%26seller%3DDigi-Key%26sku%3DVJ0402A470FXJPW1BC-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}VJ0402A470FXJPW1BC{URL.TIP}Manufacturer
4|Fitted|CAP 4.7uF 10V ±10% 0603 (1608 Metric) Thickness 1mm SMD|C9, C11, C12, C16, C25, C26, C29, C34, C41, C42, C47, C53, C56, C68, C69, C70|CAPC0603(1608)100_L|16||4.7uF|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DCC0603KRX5R6BB475%26seller%3DDigi-Key%26sku%3D311-1455-2-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Yageo{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DCC0603KRX5R6BB475%26seller%3DDigi-Key%26sku%3D311-1455-2-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}CC0603KRX5R6BB475{URL.TIP}Manufacturer
5|Fitted|CAP 220pF 50V ±1% 0402 (1005 Metric) Thickness 0.6mm SMD|C10, C17, C22, C24|CAPC0402(1005)60_L|4||220pF|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKyocera%2520AVX%26mpn%3D04025A221FAT2A%26seller%3DDigi-Key%26sku%3D478-10093-2-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Kyocera%20AVX{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKyocera%2520AVX%26mpn%3D04025A221FAT2A%26seller%3DDigi-Key%26sku%3D478-10093-2-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}04025A221FAT2A{URL.TIP}Manufacturer
6|Fitted|CAP 2.2uF 10V ±10% 0402 (1005 Metric) Thickness 0.6mm SMD|C18, C19, C20, C62, C67, C99|CAPC0402(1005)60_L|6||2.2uF|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DC1005X5R1A225K050BC%26seller%3DDigi-Key%26sku%3D445-7392-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}TDK{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DC1005X5R1A225K050BC%26seller%3DDigi-Key%26sku%3D445-7392-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}C1005X5R1A225K050BC{URL.TIP}Manufacturer
7|Fitted|CAP 10uF 10V ±10% 0805 (2012 Metric) Thickness 1.45mm SMD|C27, C28, C45, C46, C50, C51, C58, C96|CAPC0805(2012)145_L|8||10uF|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC0805C106K8PACTU%26seller%3DDigi-Key%26sku%3D399-4925-2-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}KEMET{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKEMET%26mpn%3DC0805C106K8PACTU%26seller%3DDigi-Key%26sku%3D399-4925-2-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}C0805C106K8PACTU{URL.TIP}Manufacturer
8|Fitted|CAP 10nF 25V ±10% 0402 (1005 Metric) Thickness 0.6mm SMD|C31, C72, C74, C76, C81, C82, C84, C90|CAPC0402(1005)60_L|8||10nF|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DCC0402KRX7R8BB103%26seller%3DDigi-Key%26sku%3D311-1337-2-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Yageo{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DCC0402KRX7R8BB103%26seller%3DDigi-Key%26sku%3D311-1337-2-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}CC0402KRX7R8BB103{URL.TIP}Manufacturer
9|Fitted|CAP 27pF 50V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD|C32, C33|CAPC0402(1005)60_L|2||27pF|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DGRM1555C1H270JA01D%26seller%3DDigi-Key%26sku%3D490-5869-2-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Murata{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DGRM1555C1H270JA01D%26seller%3DDigi-Key%26sku%3D490-5869-2-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}GRM1555C1H270JA01D{URL.TIP}Manufacturer
10|Fitted|CAP CER 8PF 25V C0G/NP0 0402|C77, C80|0402_L|2||8pF|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DGRM1555C1E8R0CA01D%26seller%3DDigi-Key%26sku%3D490-11372-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Murata{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DGRM1555C1E8R0CA01D%26seller%3DDigi-Key%26sku%3D490-11372-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}GRM1555C1E8R0CA01D{URL.TIP}Manufacturer
